MUNI_NAME,Risk Area / R.M.
RM OF SPRINGFIELD,SPRINGFIELD
RM OF ARGYLE,ARGYLE
RM OF ROLAND,ROLAND
RM OF MONTCALM,MONTCALM
CITY OF FLIN FLON,
RM OF MOUNTAIN,MOUNTAIN
RM OF ALONSA,ALONSA
RM OF GIMLI,GIMLI
RM OF COLDWELL,COLDWELL
RM OF STANLEY,STANLEY
LGD OF MYSTERY LAKE,
SALT POINT-NORTHERN AFFAIRS ACT,
INCORPORATED COMMUNITY OF SEYMOURVILLE,
SHERRIDON-NORTHERN AFFAIRS ACT,
RM OF FISHER,FISHER
TOWN OF TEULON,ROCKWOOD
RM OF PORTAGE LA PRAIRIE,PORTAGE LA PRAIRIE
TOWN OF LAC DU BONNET,LAC DU BONNET
RM OF ELTON,ELTON
RM OF HEADINGLEY,HEADINGLEY
RM OF CORNWALLIS,CORNWALLIS
SOUTH INDIAN LAKE-NORTHERN AFFAIRS ACT,
SPENCE LAKE-NORTHERN AFFAIRS ACT,
RM OF EAST ST. PAUL,EAST ST PAUL
TOWN OF VIRDEN,WALLACE-WOODWORTH
TOWN OF NIVERVILLE,RITCHOT
MUNICIPALITY OF MCCREARY,MCCREARY
MUNICIPALITY OF BOISSEVAIN-MORTON,BOISSEVAIN-MORTON
RM OF PIPESTONE,PIPESTONE
RM OF VICTORIA,VICTORIA
RM OF HANOVER,HANOVER
RM OF ST. ANDREWS,ST. ANDREWS
THICKET PORTAGE-NORTHERN AFFAIRS ACT,
WABOWDEN-NORTHERN AFFAIRS ACT,
MUNICIPALITY OF SOURIS-GLENWOOD,SOURIS-GLENWOOD
RM OF ELLICE-ARCHIE,ELLICE-ARCHIE
MUNICIPALITY OF LOUISE,LOUISE
RM OF LA BROQUERIE,LA BROQUERIE
MUNICIPALITY OF CLANWILLIAM-ERICKSON,CLANWILLIAM-ERICKSON
MUNICIPALITY OF STE. ROSE,STE. ROSE
GRANDVIEW MUNICIPALITY,GRANDVIEW
MUNICIPALITY OF SWAN VALLEY WEST,SWAN VALLEY WEST
RM OF OAKVIEW,OAKVIEW
WATERHEN-NORTHERN AFFAIRS ACT,
INCORPORATED COMMUNITY OF NELSON HOUSE,
TOWN OF ALTONA,RHINELAND
RM OF STUARTBURN,STUARTBURN
CITY OF THOMPSON,THOMPSON
RM OF GRAHAMDALE,GRAHAMDALE
RM OF ST. CLEMENTS,ST. CLEMENTS
TOWN OF CARMAN,DUFFERIN
RM OF PINEY,PINEY
TOWN OF CHURCHILL,
TOWN OF GILLAM,
TOWN OF SNOW LAKE,
RM OF KELSEY,KELSEY
PINE DOCK-NORTHERN AFFAIRS ACT,
MATHESON ISLAND-NORTHERN AFFAIRS ACT,
BROCHET-NORTHERN AFFAIRS ACT,
RM OF ROCKWOOD,ROCKWOOD
RM OF LAC DU BONNET,LAC DU BONNET
LGD OF PINAWA,
RM OF WEST ST. PAUL,WEST ST. PAUL
RM OF MACDONALD,MACDONALD
CITY OF STEINBACH,HANOVER
MUNICIPALITY OF BIFROST-RIVERTON,BIFROST-RIVERTON
MUNICIPALITY OF NORTH CYPRESS-LANGFORD,NORTH CYPRESS-LANGFORD
RM OF SIFTON,SIFTON
ILFORD-NORTHERN AFFAIRS ACT,
BISSETT-NORTHERN AFFAIRS ACT,
ISLAND LAKE-NORTHERN AFFAIRS ACT,
MALLARD-NORTHERN AFFAIRS ACT,
