rm,Label,Code,pixels_removed,old_pixel_count,new_pixel_count,old_per_pixel,new_per_pixel,target_per_pixel,reduction_pct,masc_biomass_total
CARTWRIGHT-ROBLIN,Pasture/forages,122,7342,37258,29916,0.030662447165262348,0.03902337044695763,0.03818810666401946,19.706814912213833,1142.4481932051317
CLANWILLIAM-ERICKSON,Pasture/forages,122,994,21558,20563,0.03642640425934919,0.21397551718459437,0.03818810666401946,4.613222698286135,785.2901480674614
COLDWELL,Pasture/forages,122,10465,35221,24755,0.026840773142051258,0.036342315309478374,0.03818810666401946,29.714312945133702,945.372648145461
DAUPHIN,Pasture/forages,122,14296,51794,37497,0.02764696530980974,0.03208069541367219,0.03818810666401946,27.60320496365822,1431.9539204846722
DELORAINE-WINCHESTER,Pasture/forages,122,2283,31777,29493,0.03544355578762089,0.03590294958764716,0.03818810666401946,7.186925763419589,1126.311431514079
ELTON,Pasture/forages,122,3331,12873,9541,0.028304692312908553,0.1516305067183019,0.03818810666401946,25.88087028787679,364.36810764407943
GIMLI,Pasture/forages,122,2434,12439,10005,0.030713878514408273,0.03451179383499174,0.03818810666401946,19.572135941092217,382.08006954719355
GLENELLA-LANSDOWNE,Pasture/forages,122,5925,56723,50798,0.03419918053628775,0.09040846616472424,0.03818810666401946,10.445467126261162,1939.894458496488
HAMIOTA,Pasture/forages,122,742,11046,10303,0.035622306825101265,0.0363430472799649,0.03818810666401946,6.718845376368635,393.48617290018
MCCREARY,Pasture/forages,122,13869,46948,33079,0.02690639489124571,1.1139567712859992,0.03818810666401946,29.542474760612546,1263.226978638323
MINTO-ODANAH,Pasture/forages,122,6199,26353,19679,0.028517746945006053,0.0,0.03818810666401946,25.32296194753416,751.5387816697814
OAKVIEW,Pasture/forages,122,9045,41534,32489,0.029871140744062916,0.1492119613139767,0.03818810666401946,21.778942834557242,1240.6974583257163
PRAIRIE LAKES,Pasture/forages,122,6731,49622,42891,0.033007983961487804,0.060987994166648206,0.03818810666401946,13.56475393793829,1637.9545593336709
ROCKWOOD,Pasture/forages,122,6498,48068,41569,0.03302511915760825,0.03211596848081851,0.03818810666401946,13.519883433434874,1587.4602060383784
YELLOWHEAD,Pasture/forages,122,2316,25786,23469,0.034757052764674404,0.043996881123067,0.03818810666401946,8.984613794895905,896.2604653579979
ALONSA,Barley,133,608,5169,4560,0.08855502597576964,0.10035986279400076,0.10038025624348819,11.780434430287341,457.7413342034375
BIFROST-RIVERTON,Barley,133,1277,10118,8841,0.08771060159157615,0.11088167010075765,0.10038025624348819,12.621660001723631,887.4968874864643
BROKENHEAD,Barley,133,938,7184,6245,0.08726685423665188,0.10037233996756272,0.10038025624348819,13.063726371675797,626.9256354373967
DELORAINE-WINCHESTER,Barley,133,2151,13130,10978,0.08393128387355403,0.10037514638361784,0.10038025624348819,16.386661068123367,1102.0187321457404
DESALABERRY,Barley,133,2593,12938,10344,0.08025461261396905,0.1003707198210382,0.10038025624348819,20.049404517060818,1038.3350965486402
GRANDVIEW,Barley,133,1099,12539,11439,0.09157866841541623,1.4722005604808295,0.10038025624348819,8.768246025117046,1148.316437175047
GREY,Barley,133,2063,15066,13002,0.08663341117520676,0.10037838401991916,0.10038025624348819,13.69476985089208,1305.220127411009
